Student_ID,Hours_Study,Sleep_Hours,Screen_Time,Attendance,Extracurricular,Stress_Level,CGPA
S9575,4.811648173347629,,,,No,Low,5.749836940209036
S4742,4.643357082753,5.902211185212904,4.275331083450274,60.85418034515943,No,Medium,8.02031349159654
S7231,3.272853410169942,,,,No,Medium,8.937844687896789
S6723,2.7923234050136267,6.329909701415756,3.066619782149947,73.63649272605119,No,Low,6.927904398839264
S9987,2.7717129375056304,7.811576476092495,4.567633071612546,86.9799844429362,No,Medium,5.0959184971050835
S7522,3.262761268428601,7.5280173866362965,9.754448585021535,95.27538858144361,Yes,Medium,6.674665840840462
S4149,2.2067155453695837,6.313274545614721,7.755154671690834,88.75024501993559,No,Medium,6.411584120910144
S3876,2.1269872504208083,,,,No,Medium,6.654334144864244
S6914,3.530151456958051,7.301388559847869,3.856348428551104,77.38145289838113,Yes,Medium,7.518460596164334
S8744,4.771421681062905,8.879595590393368,1.8731730545167191,71.5646076086983,No,Medium,7.7229441648667505
S6700,3.9490117428296005,7.477238991114827,5.859539243809954,90.23132423113051,No,Medium,5.191152156882442
S5689,3.0341803210789644,6.175668406210621,5.848582265308925,75.3380204965314,Yes,Low,9.641456880481572
S2780,1.1873650726563323,6.880226269768306,7.013767157364492,90.42293473702551,No,Low,6.825879750152584
S9904,3.152332923587034,5.850879315779606,3.8845850367030446,68.92067873044368,Yes,High,8.043368509003328
S5359,5.360440720953382,5.60325210883456,7.281032669692438,78.40747693186184,No,Medium,6.84428543969812
S8732,3.1916856810413945,7.294408507661295,5.41080154520382,57.80686287036694,Yes,Medium,6.683645524616747
S4794,4.015760369389456,5.7981694602806755,4.1950326343522395,87.68736651590218,No,Medium,8.077343858829412
S4370,3.8451130785480125,6.6626196535967175,7.671402789909428,76.82308609799556,No,Medium,6.55226852141783
S7013,6.1883590950429515,6.141287464282613,5.113743900571529,80.4825625697432,No,Medium,5.112161185993077
S6803,7.637797064400649,5.860522358749933,6.090352351261865,80.85024590283028,Yes,Medium,7.760567367971298
S9778,6.314489095462051,6.663167437614021,4.1796755543376065,99.49098075688033,Yes,Medium,6.8120570801897316
S10077,1.6907313225423115,8.688895495951085,3.9148481781483184,82.36333009812708,Yes,High,7.038531509163575
S4053,2.432492957751143,10.25043890087045,4.838767270369836,77.63100846012574,No,Low,4.6200989916079624
S4288,2.7445321878309885,6.0070972301238585,5.594002588529458,72.40005471765218,Yes,High,8.282989763058177
S3589,3.87295085076929,7.758083517598205,7.4595630539454305,73.30496440073173,No,Low,7.437688398626864
S9057,3.4236879389777646,5.107183834962273,4.8548758694874525,57.723538774926695,Yes,High,5.231223602128663
S5587,5.837829709316659,6.285973378601585,5.228759521405272,73.66305228624778,No,High,6.282675097131769
S1033,1.8845781420881993,,,,Yes,High,4.767867735331295
S7388,5.685027792910009,7.776636723563261,4.412808091173465,80.09701291631569,No,High,5.6194012428589115
S8194,5.494889942854112,5.49145736902271,1.452050140711798,75.31189280805648,No,Low,8.486599882017815
S9377,2.1434683226880082,6.251531885416172,4.9991615921086145,93.26115627652132,Yes,Medium,6.860158751364082
S5816,6.640828019567668,4.2077299590112,4.948649479291026,79.20771222723191,No,Low,7.015495069874585
S1900,4.737346617745803,5.610230117830378,5.149128124120993,79.42078796836488,Yes,High,7.61405663785496
S1765,2.593647149748225,,,,No,High,8.845965434002132
S8550,4.684212079300837,7.059193298955896,2.7336079740597965,81.77353657754917,No,Medium,7.011875535917195
S1733,0.5948327915243192,,,,Yes,Medium,5.377303278544799
S6909,2.1972486402056512,6.775478578127024,2.8713385747925275,80.47753308571568,No,Medium,8.351682127782908
S1568,0.25841615794828865,,,,No,Low,9.91961014460388
S2254,6.455337984946585,6.542998249366516,1.8773140338002228,67.85763140402068,Yes,Low,8.000784601371429
S10601,6.53742778915314,6.1842976068079505,7.425551723407141,86.5216884030987,No,High,7.8181434915122505
S4615,5.46927509091866,7.204186951113766,3.8547834487897865,50.45609400919281,Yes,Medium,7.873644211200144
S9353,5.540927191374453,8.562868906266218,6.503808453306267,86.03646366119908,No,Low,5.117372554144069
S6317,3.558923541686925,6.6305647860868,3.9886874436430566,92.33551713168691,No,High,6.839009026776725
S1039,4.393722471738247,,,,No,Medium,9.106209075609888
S10201,3.047874884444266,7.812069058952858,7.11126751367965,68.25958554798262,No,Medium,7.556376774089847
S4392,3.852054272811244,7.681497149728343,3.843672753876274,91.91928099923548,No,Low,5.8266712771169376
S6440,2.796111116129646,,,,No,High,8.212650607857471
S4928,1.6412617567347656,8.982821488239702,6.568191192744997,79.3959070524743,No,Low,7.473429556248666
S2413,8.330004689802168,7.372817657678481,2.9172418229569517,90.41696557520979,No,High,5.638594473323483
S6289,5.82083699937114,7.845106540672079,2.4810744701712864,66.41794252966086,No,Medium,6.987420030184493
S10747,1.6860070886712721,8.378206970053535,5.1873420646804,81.77418239362181,Yes,Low,8.057478455388374
S10160,2.917053986985662,5.757691441511055,4.80082355758414,94.62238986575159,No,Low,5.9758957343121
S6181,3.10735896953131,4.061227586896035,6.400658341212405,77.23846302221844,No,Medium,8.099145387474458
S6123,3.8607330933997837,7.945161993375599,3.935025807800412,69.44144359652307,No,Medium,5.674735436322548
S7421,2.356370343157308,8.677812114003924,4.018902309189657,72.64932622543738,No,High,8.317966019187882
S10436,4.228952117637559,10.698890997192047,6.795494095249244,68.19084327674713,Yes,Medium,7.598923640357765
S4126,0.1812878249854144,8.579682178785704,6.339175381796356,83.09405324839672,No,Low,5.191568166224169
S9840,2.586661791853719,6.5071701223145535,4.3995214801552756,73.46833816188199,No,High,5.904834263299069
S2957,10.275497067319987,7.594941908832186,2.4896037701683387,70.62539312314843,Yes,Medium,5.661835096307096
S9969,6.985905245507656,5.799489051946075,2.9205632846420793,79.11353712160864,No,Medium,5.616657116407667
S2183,0.858998792753646,6.414408299324286,3.8919689335066,84.72495563342781,No,Low,9.591660361383436
S10103,6.756285360995226,8.6532929781568,2.99405468607356,92.81944022690556,Yes,Low,7.6550319261888395
S5347,0.8356464733077456,4.2617318365229355,5.385780023770162,88.88254798192396,Yes,Medium,6.270404139769979
S1251,5.835723894109552,,,,No,High,6.709787896237822
